name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,,
Texas,6,4,0,62,38,122, ['Louisiana Monroe (4 - 6)', 'Alabama (8 - 2)', 'UT San Antonio (8 - 2)', 'Texas Tech (5 - 5)', 'West Virginia (4 - 6)', 'Oklahoma (5 - 5)', 'Iowa State (4 - 6)', 'Oklahoma State (7 - 3)', 'Kansas State (7 - 3)', 'TCU (10 - 0)'],,,,,,,
Mississippi State,6,4,0,58,42,51, ['Memphis (5 - 5)', 'Arizona (4 - 6)', 'LSU (8 - 2)', 'Bowling Green (5 - 5)', 'Texas A&M (3 - 7)', 'Arkansas (5 - 5)', 'Kentucky (6 - 4)', 'Alabama (8 - 2)', 'Auburn (4 - 6)', 'Georgia (10 - 0)'],,,,,,,
Louisville,6,4,0,55,44,82, ['Syracuse (6 - 4)', 'UCF (8 - 2)', 'Florida State (7 - 3)', 'South Florida (1 - 9)', 'Boston College (3 - 7)', 'Virginia (3 - 7)', 'Pittsburgh (6 - 4)', 'Wake Forest (6 - 4)', 'James Madison (6 - 3)', 'Clemson (9 - 1)'],,,,,,,
Maryland,6,4,0,51,50,37, ['Buffalo (5 - 5)', 'Charlotte (2 - 9)', 'SMU (6 - 4)', 'Michigan (10 - 0)', 'Michigan State (5 - 5)', 'Purdue (6 - 4)', 'Indiana (3 - 7)', 'Northwestern (1 - 9)', 'Wisconsin (5 - 5)', 'Penn State (8 - 2)'],,,,,,,
Houston,6,4,0,50,50,12, ['UT San Antonio (8 - 2)', 'Texas Tech (5 - 5)', 'Kansas (6 - 4)', 'Rice (5 - 5)', 'Tulane (8 - 2)', 'Memphis (5 - 5)', 'Navy (3 - 7)', 'South Florida (1 - 9)', 'SMU (6 - 4)', 'Temple (3 - 7)'],,,,,,,
Syracuse,6,4,1,57,34,69, ['Louisville (6 - 4)', 'Connecticut (6 - 5)', 'Purdue (6 - 4)', 'Virginia (3 - 7)', 'NC State (7 - 3)', 'Clemson (9 - 1)', 'Notre Dame (7 - 3)', 'Pittsburgh (6 - 4)', 'Florida State (7 - 3)'],,,,,,,,
Wake Forest,6,4,1,56,33,84, ['Vanderbilt (4 - 6)', 'Liberty (8 - 2)', 'Clemson (9 - 1)', 'Florida State (7 - 3)', 'Army (3 - 6)', 'Boston College (3 - 7)', 'Louisville (6 - 4)', 'NC State (7 - 3)', 'North Carolina (9 - 1)'],,,,,,,,
Florida,6,4,1,55,35,50, ['Utah (8 - 2)', 'Kentucky (6 - 4)', 'South Florida (1 - 9)', 'Tennessee (9 - 1)', 'Missouri (4 - 6)', 'LSU (8 - 2)', 'Georgia (10 - 0)', 'Texas A&M (3 - 7)', 'South Carolina (6 - 4)'],,,,,,,,
Kansas,6,4,1,54,36,65, ['West Virginia (4 - 6)', 'Houston (6 - 4)', 'Duke (7 - 3)', 'Iowa State (4 - 6)', 'TCU (10 - 0)', 'Oklahoma (5 - 5)', 'Baylor (6 - 4)', 'Oklahoma State (7 - 3)', 'Texas Tech (5 - 5)'],,,,,,,,
Purdue,6,4,1,52,37,44, ['Penn State (8 - 2)', 'Syracuse (6 - 4)', 'Florida Atlantic (4 - 5)', 'Minnesota (7 - 3)', 'Maryland (6 - 4)', 'Nebraska (3 - 7)', 'Wisconsin (5 - 5)', 'Iowa (6 - 4)', 'Illinois (7 - 3)'],,,,,,,,
