name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents,,,,,,,,,,,,,,,
Iowa,5,4,1,41,31,26, ['Iowa State (4 - 5)', 'Nevada (2 - 7)', 'Rutgers (4 - 5)', 'Michigan (9 - 0)', 'Illinois (7 - 2)', 'Ohio State (9 - 0)', 'Northwestern (1 - 8)', 'Purdue (5 - 4)'],,,,,,,,
Fresno State,5,4,1,41,33,57, ['Oregon State (6 - 3)', 'USC (8 - 1)', 'Connecticut (5 - 5)', 'Boise State (6 - 3)', 'San José State (7 - 2)', 'New Mexico (2 - 7)', 'San Diego State (5 - 4)',"Hawai'i (2 - 8)""]
Wisconsin, 5, 4, 1, 40, 32, 92, ['Washington State (5 - 4)', 'New Mexico State (3 - 6)', 'Ohio State (9 - 0)', 'Illinois (7 - 2)', 'Northwestern (1 - 8)', 'Michigan State (4 - 5)', 'Purdue (5 - 4)', 'Maryland (6 - 3)']
Pittsburgh, 5, 4, 1, 40, 32, 31, ['West Virginia (3 - 6)', 'Tennessee (8 - 1)', 'Western Michigan (3 - 6)', 'Georgia Tech (4 - 5)', 'Virginia Tech (2 - 7)', 'Louisville (6 - 3)', 'North Carolina (8 - 1)', 'Syracuse (6 - 3)']
Southern Mississippi, 5, 4, 1, 40, 32, 9, ['Liberty (8 - 1)', 'Miami (4 - 5)', 'Tulane (8 - 1)', 'Troy (7 - 2)', 'Arkansas State (2 - 7)', 'Texas State (3 - 6)', 'Louisiana (4 - 5)', 'Georgia State (4 - 5)']
Georgia Southern, 5, 4, 1, 39, 32, 45, ['Nebraska (3 - 6)', 'UAB (4 - 5)', 'Ball State (5 - 4)', 'Coastal Carolina (8 - 1)', 'Georgia State (4 - 5)', 'James Madison (5 - 3)', 'Old Dominion (3 - 6)', 'South Alabama (7 - 2)']
Bowling Green, 5, 4, 1, 35, 37, -62, ['UCLA (8 - 1)', 'Marshall (5 - 4)', 'Mississippi State (6 - 3)', 'Akron (1 - 8)', 'Buffalo (5 - 4)', 'Miami (OH) (4 - 5)', 'Central Michigan (3 - 6)', 'Western Michigan (3 - 6)']
San Diego State, 5, 4, 1, 35, 38, -16, ['Arizona (3 - 6)', 'Utah (7 - 2)', 'Toledo (6 - 3)', 'Boise State (6 - 3)', ""Hawai'i (2 - 8)", 'Nevada (2 - 7)', 'Fresno State (5 - 4)', 'UNLV (4 - 5)'],,,,,
Ball State,5,4,1,34,39,-22, ['Tennessee (8 - 1)', 'Western Michigan (3 - 6)', 'Georgia Southern (5 - 4)', 'Northern Illinois (2 - 7)', 'Central Michigan (3 - 6)', 'Connecticut (5 - 5)', 'Eastern Michigan (5 - 4)', 'Kent State (3 - 6)'],,,,,,,,
Rice,5,4,1,33,40,-29, ['USC (8 - 1)', 'Louisiana (4 - 5)', 'Houston (5 - 4)', 'UAB (4 - 5)', 'Florida Atlantic (3 - 5)', 'Louisiana Tech (3 - 6)', 'Charlotte (2 - 8)', 'UTEP (4 - 6)'],,,,,,,,
Eastern Michigan,5,4,1,29,43,-29, ['Louisiana (4 - 5)', 'Arizona State (3 - 6)', 'Buffalo (5 - 4)', 'UMass (1 - 8)', 'Western Michigan (3 - 6)', 'Northern Illinois (2 - 7)', 'Ball State (5 - 4)', 'Toledo (6 - 3)'],,,,,,,,
Appalachian State,5,4,2,38,24,95, ['North Carolina (8 - 1)', 'Texas A&M (3 - 6)', 'Troy (7 - 2)', 'James Madison (5 - 3)', 'Texas State (3 - 6)', 'Georgia State (4 - 5)', 'Coastal Carolina (8 - 1)'],,,,,,,,,
Marshall,5,4,2,38,24,71, ['Notre Dame (6 - 3)', 'Bowling Green (5 - 4)', 'Troy (7 - 2)', 'Louisiana (4 - 5)', 'James Madison (5 - 3)', 'Coastal Carolina (8 - 1)', 'Old Dominion (3 - 6)'],,,,,,,,,
BYU,5,5,0,56,34,-12, ['South Florida (1 - 8)', 'Baylor (6 - 3)', 'Oregon (8 - 1)', 'Wyoming (6 - 3)', 'Utah State (4 - 5)', 'Notre Dame (6 - 3)', 'Arkansas (5 - 4)', 'Liberty (8 - 1)', 'East Carolina (6 - 3)', 'Boise State (6 - 3)'],,,,,,
Connecticut,5,5,1,43,38,-61, ['Utah State (4 - 5)', 'Syracuse (6 - 3)', 'Michigan (9 - 0)', 'NC State (7 - 2)', 'Fresno State (5 - 4)', 'Florida International (4 - 5)', 'Ball State (5 - 4)', 'Boston College (2 - 7)', 'UMass (1 - 8)'],,,,,,,
Michigan State,4,5,0,53,28,-15, ['Western Michigan (3 - 6)', 'Akron (1 - 8)', 'Washington (7 - 2)', 'Minnesota (6 - 3)', 'Maryland (6 - 3)', 'Ohio State (9 - 0)', 'Wisconsin (5 - 4)', 'Michigan (9 - 0)', 'Illinois (7 - 2)'],,,,,,,
Memphis,4,5,0,46,36,21, ['Mississippi State (6 - 3)', 'Navy (3 - 6)', 'Arkansas State (2 - 7)', 'North Texas (6 - 4)', 'Temple (3 - 6)', 'Houston (5 - 4)', 'East Carolina (6 - 3)', 'Tulane (8 - 1)', 'UCF (7 - 2)'],,,,,,,
Georgia State,4,5,0,45,36,-4, ['South Carolina (6 - 3)', 'North Carolina (8 - 1)', 'Charlotte (2 - 8)', 'Coastal Carolina (8 - 1)', 'Army (3 - 5)', 'Georgia Southern (5 - 4)', 'Appalachian State (5 - 4)', 'Old Dominion (3 - 6)', 'Southern Mississippi (5 - 4)'],,,,,,,
Texas Tech,4,5,1,48,24,27, ['Houston (5 - 4)', 'NC State (7 - 2)', 'Texas (6 - 3)', 'Kansas State (6 - 3)', 'Oklahoma State (6 - 3)', 'West Virginia (3 - 6)', 'Baylor (6 - 3)', 'TCU (9 - 0)'],,,,,,,,
Georgia Tech,4,5,1,45,27,-95, ['Clemson (8 - 1)', 'Ole Miss (8 - 1)', 'UCF (7 - 2)', 'Pittsburgh (5 - 4)', 'Duke (6 - 3)', 'Virginia (3 - 6)', 'Florida State (6 - 3)', 'Virginia Tech (2 - 7)'],,,,,,,,
Iowa State,4,5,1,43,29,57, ['Iowa (5 - 4)', 'Ohio (6 - 3)', 'Baylor (6 - 3)', 'Kansas (6 - 3)', 'Kansas State (6 - 3)', 'Texas (6 - 3)', 'Oklahoma (5 - 4)', 'West Virginia (3 - 6)'],,,,,,,,
Missouri,4,5,1,41,31,15, ['Louisiana Tech (3 - 6)', 'Kansas State (6 - 3)', 'Auburn (3 - 6)', 'Georgia (9 - 0)', 'Florida (5 - 4)', 'Vanderbilt (3 - 6)', 'South Carolina (6 - 3)', 'Kentucky (6 - 3)'],,,,,,,,
Rutgers,4,5,1,40,32,-54, ['Boston College (2 - 7)', 'Temple (3 - 6)', 'Iowa (5 - 4)', 'Ohio State (9 - 0)', 'Nebraska (3 - 6)', 'Indiana (3 - 6)', 'Minnesota (6 - 3)', 'Michigan (9 - 0)'],,,,,,,,
UAB,4,5,1,40,33,87, ['Liberty (8 - 1)', 'Georgia Southern (5 - 4)', 'Rice (5 - 4)', 'Middle Tennessee (4 - 5)', 'Charlotte (2 - 8)', 'Western Kentucky (6 - 4)', 'Florida Atlantic (3 - 5)', 'UT San Antonio (7 - 2)'],,,,,,,,
Louisiana,4,5,1,39,33,35, ['Eastern Michigan (5 - 4)', 'Rice (5 - 4)', 'Louisiana Monroe (3 - 6)', 'South Alabama (7 - 2)', 'Marshall (5 - 4)', 'Arkansas State (2 - 7)', 'Southern Mississippi (5 - 4)', 'Troy (7 - 2)'],,,,,,,,
UNLV,4,5,1,39,34,-18, ['California (3 - 6)', 'North Texas (6 - 4)', 'Utah State (4 - 5)', 'New Mexico (2 - 7)', 'San José State (7 - 2)', 'Air Force (6 - 3)', 'Notre Dame (6 - 3)', 'San Diego State (5 - 4)'],,,,,,,,
Miami,4,5,1,37,35,-3, ['Southern Mississippi (5 - 4)', 'Texas A&M (3 - 6)', 'Middle Tennessee (4 - 5)', 'North Carolina (8 - 1)', 'Virginia Tech (2 - 7)', 'Duke (6 - 3)', 'Virginia (3 - 6)', 'Florida State (6 - 3)'],,,,,,,,
Utah State,4,5,1,37,37,-80, ['Connecticut (5 - 5)', 'Alabama (7 - 2)', 'UNLV (4 - 5)', 'BYU (5 - 5)', 'Air Force (6 - 3)', 'Colorado State (2 - 7)', 'Wyoming (6 - 3)', 'New Mexico (2 - 7)'],,,,,,,,
Middle Tennessee,4,5,1,35,38,-30, ['James Madison (5 - 3)', 'Colorado State (2 - 7)', 'Miami (4 - 5)', 'UT San Antonio (7 - 2)', 'UAB (4 - 5)', 'Western Kentucky (6 - 4)', 'UTEP (4 - 6)', 'Louisiana Tech (3 - 6)'],,,,,,,,
Florida International,4,5,1,35,41,-139, ['Texas State (3 - 6)', 'Western Kentucky (6 - 4)', 'New Mexico State (3 - 6)', 'Connecticut (5 - 5)', 'UT San Antonio (7 - 2)', 'Charlotte (2 - 8)', 'Louisiana Tech (3 - 6)', 'North Texas (6 - 4)'],,,,,,,,
Miami (OH),4,5,1,31,41,-18, ['Kentucky (6 - 3)', 'Cincinnati (7 - 2)', 'Northwestern (1 - 8)', 'Buffalo (5 - 4)', 'Kent State (3 - 6)', 'Bowling Green (5 - 4)', 'Western Michigan (3 - 6)', 'Akron (1 - 8)'],,,,,,,,
UTEP,4,6,0,39,52,-62, ['North Texas (6 - 4)', 'Oklahoma (5 - 4)', 'New Mexico State (3 - 6)', 'New Mexico (2 - 7)', 'Boise State (6 - 3)', 'Charlotte (2 - 8)', 'Louisiana Tech (3 - 6)', 'Florida Atlantic (3 - 5)', 'Middle Tennessee (4 - 5)', 'Rice (5 - 4)'],,,,,,
