name, wins, losses, fcs_count, opponent_total_wins, opponent_total_losses, point_diff, opponents
Texas, 5, 3, 0, 36, 28, 122, ['Louisiana Monroe (2 - 6)', 'Alabama (7 - 1)', 'UT San Antonio (6 - 2)', 'Texas Tech (4 - 4)', 'West Virginia (3 - 5)', 'Oklahoma (5 - 3)', 'Iowa State (3 - 5)', 'Oklahoma State (6 - 2)']
Houston, 5, 3, 0, 34, 30, 19, ['UT San Antonio (6 - 2)', 'Texas Tech (4 - 4)', 'Kansas (5 - 3)', 'Rice (4 - 4)', 'Tulane (7 - 1)', 'Memphis (4 - 4)', 'Navy (3 - 5)', 'South Florida (1 - 7)']
Louisville, 5, 3, 0, 33, 31, 73, ['Syracuse (6 - 2)', 'UCF (6 - 2)', 'Florida State (5 - 3)', 'South Florida (1 - 7)', 'Boston College (2 - 6)', 'Virginia (3 - 5)', 'Pittsburgh (4 - 4)', 'Wake Forest (6 - 2)']
Florida State, 5, 3, 1, 36, 20, 82, ['LSU (6 - 2)', 'Louisville (5 - 3)', 'Boston College (2 - 6)', 'Wake Forest (6 - 2)', 'NC State (6 - 2)', 'Clemson (8 - 0)', 'Georgia Tech (3 - 5)']
Kentucky, 5, 3, 1, 36, 22, 32, ['Miami (OH) (4 - 5)', 'Florida (4 - 4)', 'Northern Illinois (2 - 6)', 'Ole Miss (8 - 1)', 'South Carolina (5 - 3)', 'Mississippi State (5 - 3)', 'Tennessee (8 - 0)']
Kansas, 5, 3, 1, 34, 22, 59, ['West Virginia (3 - 5)', 'Houston (5 - 3)', 'Duke (5 - 3)', 'Iowa State (3 - 5)', 'TCU (8 - 0)', 'Oklahoma (5 - 3)', 'Baylor (5 - 3)']
Purdue, 5, 3, 1, 33, 23, 58, ['Penn State (6 - 2)', 'Syracuse (6 - 2)', 'Florida Atlantic (3 - 5)', 'Minnesota (5 - 3)', 'Maryland (6 - 2)', 'Nebraska (3 - 5)', 'Wisconsin (4 - 4)']
Southern Mississippi, 5, 3, 1, 33, 24, 37, ['Liberty (7 - 1)', 'Miami (4 - 4)', 'Tulane (7 - 1)', 'Troy (6 - 2)', 'Arkansas State (2 - 7)', 'Texas State (3 - 5)', 'Louisiana (4 - 4)']
Arkansas, 5, 3, 1, 33, 24, 15, ['Cincinnati (6 - 2)', 'South Carolina (5 - 3)', 'Texas A&M (3 - 5)', 'Alabama (7 - 1)', 'Mississippi State (5 - 3)', 'BYU (4 - 5)', 'Auburn (3 - 5)']
Buffalo, 5, 3, 1, 33, 26, 49, ['Maryland (6 - 2)', 'Coastal Carolina (7 - 1)', 'Eastern Michigan (5 - 4)', 'Miami (OH) (4 - 5)', 'Bowling Green (4 - 4)', 'UMass (1 - 7)', 'Toledo (6 - 3)']
South Carolina, 5, 3, 1, 30, 27, 45, ['Georgia State (3 - 5)', 'Arkansas (5 - 3)', 'Georgia (8 - 0)', 'Charlotte (2 - 7)', 'Kentucky (5 - 3)', 'Texas A&M (3 - 5)', 'Missouri (4 - 4)']
